metro_area,total,with_internet_subscription,dial_up_with_no_other_internet_subscription,broadband_of_any_type,cellular_data_plan,cellular_data_plan_only,broadband_cable_fiber_or_dsl,broadband_cable_fiber_or_dsl_only,satellite_internet_service,satellite_internet_service_only,other_service_only,internet_access_without_subscription,no_internet_access,metro_area_id,year
"Torrington, CT Micro Area",74143,64632,316,64316,47186,4108,58905,16337,2367,210,58,1682,7829,45860,2019
"Traverse City, MI Micro Area",60395,50954,355,50599,40446,6650,40875,8899,3778,756,55,1654,7787,45900,2019
"Trenton-Princeton, NJ Metro Area",129936,108154,298,107856,85134,9117,97237,21371,3288,385,81,4388,17394,45940,2019
"Troy, AL Micro Area",11601,7818,132,7686,5721,1547,5478,1728,1340,184,0,307,3476,45980,2019
"Truckee-Grass Valley, CA Micro Area",40855,35231,206,35025,26659,3479,27897,6593,5372,907,165,945,4679,46020,2019
"Tucson, AZ Metro Area",404739,347028,1468,345560,284515,49479,278502,53668,26555,3470,1037,10800,46911,46060,2019
"Tullahoma-Manchester, TN Micro Area",40564,28919,173,28746,22826,5498,20738,4808,3599,661,50,2595,9050,46100,2019
"Tulsa, OK Metro Area",382217,315220,1013,314207,265920,51338,244388,40433,28920,4092,455,9923,57074,46140,2019
"Tupelo, MS Micro Area",60680,43816,119,43697,37130,13885,26128,5149,6157,932,33,2673,14191,46180,2019
"Tuscaloosa, AL Metro Area",88699,68454,150,68304,59653,13961,49275,7307,7807,896,47,2862,17383,46220,2019
"Twin Falls, ID Metro Area",39168,32128,232,31896,24821,5104,22826,5551,4704,1149,93,1292,5748,46300,2019
"Tyler, TX Metro Area",77678,62839,131,62708,49016,16490,41208,11208,7233,1527,227,2159,12680,46340,2019
"Ukiah, CA Micro Area",34408,28141,248,27893,20538,3354,19234,5160,5666,1801,134,821,5446,46380,2019
"Union, SC Micro Area",11432,7608,31,7577,5929,2171,4569,1335,1022,265,14,331,3493,46420,2019
"Union City, TN Micro Area",12717,9664,58,9606,7945,1890,6807,1297,1088,247,0,320,2733,46460,2019
"Urbana, OH Micro Area",15159,12740,62,12678,10116,1992,9794,2280,1088,125,13,426,1993,46500,2019
"Urban Honolulu, HI Metro Area",312795,271474,690,270784,227479,25974,240962,41018,9316,464,219,8453,32868,46520,2019
"Utica-Rome, NY Metro Area",114253,92672,621,92051,67460,11449,76813,22474,4639,952,204,3330,18251,46540,2019
"Uvalde, TX Micro Area",8841,5851,88,5763,3781,979,4299,1670,605,165,11,456,2534,46620,2019
"Valdosta, GA Metro Area",52892,34533,140,34393,25148,5141,27212,7896,3623,654,44,5636,12723,46660,2019
"Vallejo, CA Metro Area",149865,135975,325,135650,116680,16043,113829,16479,11842,1042,260,2534,11356,46700,2019
"Van Wert, OH Micro Area",11544,8898,95,8803,7024,881,6847,1487,1278,179,9,331,2315,46780,2019
"Vermillion, SD Micro Area",5233,4588,3,4585,3450,412,3797,1033,374,49,13,210,435,46820,2019
"Vernal, UT Micro Area",10569,8916,105,8811,7584,1247,6845,1020,809,134,7,291,1362,46860,2019
"Vernon, TX Micro Area",5180,3399,0,3399,2557,612,2460,761,497,42,0,343,1438,46900,2019
"Vicksburg, MS Micro Area",18235,13677,74,13603,11748,3338,9041,1531,1867,146,46,761,3797,46980,2019
"Victoria, TX Metro Area",34982,24766,124,24642,16422,3249,18901,7112,3214,649,154,2219,7997,47020,2019
"Vidalia, GA Micro Area",13127,9540,58,9482,7132,2464,6086,1932,1221,257,37,357,3230,47080,2019
"Vincennes, IN Micro Area",15038,12010,71,11939,9328,1978,9245,2315,765,105,29,231,2797,47180,2019
"Vineland-Bridgeton, NJ Metro Area",50729,39753,167,39586,25702,3945,34605,13029,2101,286,64,1993,8983,47220,2019
"Vineyard Haven, MA Micro Area",6765,5353,6,5347,3972,406,4761,1239,286,122,0,556,856,47240,2019
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",663821,564655,1756,562899,470055,72855,472672,86068,29335,2712,343,24030,75136,47260,2019
"Visalia, CA Metro Area",138238,107781,418,107363,83875,25077,73123,19773,12490,2349,332,3943,26514,47300,2019
"Wabash, IN Micro Area",12862,9745,135,9610,7016,1577,7032,2247,1228,273,18,820,2297,47340,2019
"Waco, TX Metro Area",95253,73438,297,73141,58166,13387,54494,12700,7021,1230,217,4878,16937,47380,2019
"Wahpeton, ND-MN Micro Area",9595,7661,49,7612,5890,750,6416,1552,716,105,5,362,1572,47420,2019
"Walla Walla, WA Metro Area",22646,19291,39,19252,14777,2032,15919,3851,1586,313,82,811,2544,47460,2019
"Wapakoneta, OH Micro Area",18888,16174,109,16065,12578,1360,13333,3088,1367,319,9,340,2374,47540,2019
"Warner Robins, GA Metro Area",67192,55307,93,55214,44911,7277,45808,9409,4971,391,25,1852,10033,47580,2019
"Warren, PA Micro Area",17115,13267,163,13104,8735,1674,10618,3824,1143,293,19,651,3197,47620,2019
"Kingsport-Bristol, TN-VA Metro Area",128074,97482,559,96923,72751,12332,80185,21662,5847,1314,135,4119,26473,28700,2019
"Kingston, NY Metro Area",69320,59981,302,59679,40917,4177,53810,17565,2547,611,90,1535,7804,28740,2019
"Kingsville, TX Micro Area",11152,8165,25,8140,7195,2056,5801,787,522,59,3,560,2427,28780,2019
"Kinston, NC Micro Area",23148,17684,242,17442,14541,4368,11808,2326,1675,228,39,850,4614,28820,2019
"Kirksville, MO Micro Area",10733,7861,33,7828,5788,1042,6205,1790,753,102,10,550,2322,28860,2019
"Klamath Falls, OR Micro Area",27886,22464,121,22343,16759,2890,17128,4303,2761,831,173,780,4642,28900,2019
"Knoxville, TN Metro Area",341209,272750,721,272029,194712,34240,226297,71758,17480,2877,403,10198,58261,28940,2019
"Kalamazoo-Portage, MI Metro Area",103445,90168,348,89820,75229,10727,75646,13255,5087,704,109,3436,9841,28020,2019
"Kalispell, MT Micro Area",38773,32903,328,32575,23756,3998,26843,8021,2528,453,56,871,4999,28060,2019
"Kankakee, IL Metro Area",39796,31040,92,30948,25014,3042,25279,4951,3726,552,76,1303,7453,28100,2019
"Kansas City, MO-KS Metro Area",830500,707660,2576,705084,590190,85281,591245,103190,44237,5563,678,26506,96334,28140,2019
"Kapaa, HI Micro Area",22658,19360,190,19170,15141,2932,15723,3592,715,285,31,518,2780,28180,2019
"Kearney, NE Micro Area",21728,18261,86,18175,14344,2190,14439,3213,1958,460,46,666,2801,28260,2019
"Keene, NH Micro Area",30141,25458,198,25260,17959,1862,22189,6587,1763,331,33,801,3882,28300,2019
"Kendallville, IN Micro Area",18276,14770,198,14572,12369,3713,8994,1605,2090,470,23,338,3168,28340,2019
"Kennett, MO Micro Area",12342,9145,19,9126,7201,1631,6505,1601,1271,264,14,366,2831,28380,2019
"Kennewick-Richland, WA Metro Area",98844,84312,450,83862,65979,9434,68967,14969,8516,1252,437,4298,10234,28420,2019
"Kerrville, TX Micro Area",21403,17946,168,17778,14111,3098,13306,3190,1660,309,83,670,2787,28500,2019
"Ketchikan, AK Micro Area",5397,4587,13,4574,3725,524,3965,765,113,12,7,220,590,28540,2019
"Key West, FL Micro Area",32068,26838,27,26811,17220,2035,23978,9131,1742,120,39,1569,3661,28580,2019
"Kill Devil Hills, NC Micro Area",15529,14095,14,14081,10346,909,12661,3389,1208,174,0,293,1141,28620,2019
"Killeen-Temple, TX Metro Area",152818,129647,240,129407,88782,20583,101914,37508,11069,1496,109,4283,18888,28660,2019
"Kokomo, IN Metro Area",34701,27547,133,27414,20834,3390,22530,5894,2189,391,59,1504,5650,29020,2019
"Laconia, NH Micro Area",25052,21815,140,21675,16184,1493,19555,5139,1150,179,18,695,2542,29060,2019
"La Crosse-Onalaska, WI-MN Metro Area",55771,47256,326,46930,35028,4465,40860,10862,3626,318,36,1560,6955,29100,2019
"Lafayette, LA Metro Area",181798,147734,319,147415,118016,21616,119092,26467,10818,1620,317,4158,29906,29180,2019
"Lafayette-West Lafayette, IN Metro Area",85317,71016,314,70702,56401,9508,56911,12507,5286,989,261,4606,9695,29200,2019
"La Grande, OR Micro Area",10708,8780,101,8679,6649,1169,6558,1583,962,272,64,324,1604,29260,2019
"LaGrange, GA-AL Micro Area",38376,27692,122,27570,21522,4603,20294,4488,3174,536,265,1003,9681,29300,2019
"Lake Charles, LA Metro Area",80514,60629,88,60541,46266,8015,49791,13008,4951,593,144,2506,17379,29340,2019
"Lake City, FL Micro Area",25133,19858,115,19743,16484,4552,12552,2616,2770,382,100,957,4318,29380,2019
"Lake Havasu City-Kingman, AZ Metro Area",86889,69995,439,69556,49428,8814,54768,16871,8218,1604,343,2036,14858,29420,2019
"Lakeland-Winter Haven, FL Metro Area",235283,166127,1039,165088,127470,21318,137276,33668,10872,1921,179,26770,42386,29460,2019
"Lamesa, TX Micro Area",4322,2998,23,2975,2491,735,2019,383,452,65,0,213,1111,29500,2019
"Lancaster, PA Metro Area",201620,159934,1386,158548,123311,15917,137659,32358,6888,1107,270,9011,32675,29540,2019
"Lansing-East Lansing, MI Metro Area",214641,178381,966,177415,138498,22439,144317,34315,14609,2536,360,7207,29053,29620,2019
"Laramie, WY Micro Area",15944,13809,34,13775,11468,1262,11462,1944,1092,227,46,863,1272,29660,2019
"Laredo, TX Metro Area",74789,50351,304,50047,36179,5740,42739,12843,3159,359,70,2644,21794,29700,2019
"Las Cruces, NM Metro Area",77842,57063,201,56862,47750,7520,45870,7836,4860,486,178,3177,17602,29740,2019
"Las Vegas, NM Micro Area",13322,7554,20,7534,5871,1833,4667,1045,1327,385,0,531,5237,29780,2019
"Las Vegas-Henderson-Paradise, NV Metro Area",783524,651276,2409,648867,525014,73309,557204,113768,48540,3571,498,26565,105683,29820,2019
"Laurel, MS Micro Area",31487,17371,349,17022,11577,3817,11032,4130,2693,1152,10,1174,12942,29860,2019
"Laurinburg, NC Micro Area",12922,8009,85,7924,5296,1581,5717,2247,692,226,48,392,4521,29900,2019
"Lawrence, KS Metro Area",46936,41296,125,41171,35097,4024,34970,5366,3101,354,176,1689,3951,29940,2019
"Lawrenceburg, TN Micro Area",15960,11525,53,11472,9464,2578,7358,1446,1783,446,6,530,3905,29980,2019
"Lawton, OK Metro Area",45037,37867,111,37756,32899,8180,26706,4018,3792,451,99,1357,5813,30020,2019
"Lebanon, MO Micro Area",14112,10413,126,10287,7783,2759,6170,1883,1599,471,61,687,3012,30060,2019
"Lebanon, NH-VT Micro Area",88632,73378,661,72717,44165,5655,63241,25899,4576,1449,144,3806,11448,30100,2019
"Lebanon, PA Metro Area",53579,43261,278,42983,33804,5275,36229,8529,2514,295,63,1538,8780,30140,2019
"Levelland, TX Micro Area",7997,6100,35,6065,5339,1199,4370,457,1054,100,20,226,1671,30220,2019
"Lewisburg, PA Micro Area",14533,10881,177,10704,7543,970,9236,2776,766,221,10,364,3288,30260,2019
"Lewisburg, TN Micro Area",12324,9497,66,9431,8127,1869,6817,1127,1050,100,45,398,2429,30280,2019
"Lewiston, ID-WA Metro Area",25485,20601,269,20332,15905,2915,15700,3599,2009,512,107,677,4207,30300,2019
"Lewiston-Auburn, ME Metro Area",45630,37510,247,37263,27722,2814,33474,9015,1254,144,154,1619,6501,30340,2019
"Lewistown, PA Micro Area",19043,13583,141,13442,10239,1671,11063,2867,931,174,13,521,4939,30380,2019
"Lexington, NE Micro Area",9907,7886,29,7857,6501,1708,5488,1117,876,184,8,333,1688,30420,2019
"Lexington-Fayette, KY Metro Area",202126,172360,467,171893,145065,22652,143283,24415,11228,1124,158,6222,23544,30460,2019
"Liberal, KS Micro Area",7321,6045,17,6028,5405,1845,3787,556,486,50,0,85,1191,30580,2019
"Lima, OH Metro Area",40650,33138,192,32946,24852,3782,27773,7288,2203,364,68,1403,6109,30620,2019
"Lincoln, IL Micro Area",10797,8370,51,8319,6552,1174,6330,1372,762,108,0,437,1990,30660,2019
"Lincoln, NE Metro Area",130924,114955,422,114533,93183,10559,99798,19399,6949,995,195,3273,12696,30700,2019
"Little Rock-North Little Rock-Conway, AR Metro Area",284127,226605,959,225646,181804,40560,169665,36885,24803,4672,189,10680,46842,30780,2019
"Lock Haven, PA Micro Area",14690,11417,143,11274,8151,1084,9554,2705,695,233,43,456,2817,30820,2019
"Logan, UT-ID Metro Area",42790,37687,157,37530,27916,3796,29683,8132,4945,1191,36,2033,3070,30860,2019
