metro_area,total_workers,car_truck_or_van,drove_alone,carpooled,public_transportation,bus,long_distance_train_or_commuter_rail,light_rail_streetcar_or_trolley,ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_from_home,other_aggregate,worked_from_home_extended,metro_area_id,year
"Ukiah, CA Micro Area",36446,30220,26446,3774,2720,538,516,108,108,0,0,0,0,235,2280,252,3351,46380,2019
"Union, SC Micro Area",11470,11005,9870,1135,810,204,121,11,11,0,0,0,0,8,119,113,214,46420,2019
"Union City, TN Micro Area",12615,11895,10964,931,738,115,78,27,11,16,0,0,0,0,235,126,332,46460,2019
"Urbana, OH Micro Area",17769,16816,14926,1890,1785,77,28,0,0,0,0,0,0,19,381,94,459,46500,2019
"Urban Honolulu, HI Metro Area",500034,394225,323443,70782,51165,12372,7245,40274,40089,114,21,36,14,4676,27287,13519,20053,46520,2019
"Utica-Rome, NY Metro Area",128193,115475,104857,10618,8102,1392,1124,1166,1080,56,4,10,16,122,4676,1112,5642,46540,2019
"Uvalde, TX Micro Area",11037,10403,8762,1641,1132,277,232,0,0,0,0,0,0,38,152,135,309,46620,2019
"Valdosta, GA Metro Area",61463,57367,51812,5555,4317,865,373,199,179,0,5,15,0,105,1435,805,1552,46660,2019
"Vallejo, CA Metro Area",205287,184262,157069,27193,17692,5542,3959,6552,2979,1250,736,13,1574,692,2437,2109,9235,46700,2019
"Van Wert, OH Micro Area",13490,12756,11826,930,699,134,97,28,28,0,0,0,0,0,214,223,269,46780,2019
"Vermillion, SD Micro Area",7323,5676,5083,593,438,115,40,65,65,0,0,0,0,142,926,23,491,46820,2019
"Vernal, UT Micro Area",14657,13583,11309,2274,1313,301,660,54,54,0,0,0,0,56,305,98,561,46860,2019
"Vernon, TX Micro Area",6089,5877,4803,1074,838,100,136,3,3,0,0,0,0,11,87,46,65,46900,2019
"Vicksburg, MS Micro Area",19136,18393,16646,1747,1247,211,289,47,47,0,0,0,0,14,171,288,223,46980,2019
"Victoria, TX Metro Area",44669,41108,35551,5557,4219,793,545,439,439,0,0,0,0,141,732,267,1982,47020,2019
"Vidalia, GA Micro Area",13546,12859,11314,1545,1228,210,107,57,45,12,0,0,0,39,243,128,220,47080,2019
"Vincennes, IN Micro Area",17778,16575,15315,1260,981,195,84,66,66,0,0,0,0,105,432,262,338,47180,2019
"Vineland-Bridgeton, NJ Metro Area",60362,55679,48628,7051,5130,1109,812,960,872,24,28,19,17,134,1074,1044,1471,47220,2019
"Vineyard Haven, MA Micro Area",8372,6596,6158,438,368,46,24,96,62,5,12,6,11,203,292,141,1044,47240,2019
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",880062,788826,715715,73111,57663,9433,6015,13431,12539,399,171,246,76,3395,28826,12282,33302,47260,2019
"Visalia, CA Metro Area",173640,160561,137084,23477,15043,3581,4853,1192,1147,0,20,25,0,660,2512,2368,6347,47300,2019
"Wabash, IN Micro Area",14341,13144,12359,785,608,69,108,100,100,0,0,0,0,0,625,90,382,47340,2019
"Waco, TX Metro Area",118971,110256,98428,11828,9019,1586,1223,472,430,42,0,0,0,255,2508,1227,4253,47380,2019
"Wahpeton, ND-MN Micro Area",11469,10258,9207,1051,772,156,123,29,27,0,0,0,2,20,384,107,671,47420,2019
"Walla Walla, WA Metro Area",26080,22024,18981,3043,2220,451,372,223,223,0,0,0,0,254,1878,231,1470,47460,2019
"Wapakoneta, OH Micro Area",23216,21731,20316,1415,1159,163,93,78,68,0,0,10,0,63,485,130,729,47540,2019
"Warner Robins, GA Metro Area",83056,78972,70655,8317,7039,840,438,215,207,8,0,0,0,229,848,972,1820,47580,2019
"Warren, PA Micro Area",17845,16304,14519,1785,1556,136,93,87,87,0,0,0,0,37,643,178,596,47620,2019
"Kingsport-Bristol, TN-VA Metro Area",125563,117495,107769,9726,7873,1382,471,273,235,17,0,21,0,138,1632,1624,4401,28700,2019
"Kingston, NY Metro Area",85533,71979,65653,6326,5316,509,501,2195,1095,561,532,0,7,233,3325,997,6804,28740,2019
"Kingsville, TX Micro Area",13417,12215,10630,1585,1213,240,132,0,0,0,0,0,0,0,800,184,218,28780,2019
"Kinston, NC Micro Area",22447,21302,18125,3177,2432,181,564,156,122,0,0,0,34,84,270,241,394,28820,2019
"Kirksville, MO Micro Area",12395,11274,9840,1434,944,249,241,30,27,0,0,0,3,37,370,97,587,28860,2019
"Klamath Falls, OR Micro Area",26196,23718,21441,2277,1736,303,238,150,135,0,0,0,15,92,545,244,1447,28900,2019
"Knoxville, TN Metro Area",392829,361683,330638,31045,24902,4230,1913,1985,1750,18,106,12,99,606,5412,2827,20316,28940,2019
"Kalamazoo-Portage, MI Metro Area",130681,117785,107826,9959,7961,1238,760,2221,2207,10,4,0,0,628,3889,930,5228,28020,2019
"Kalispell, MT Micro Area",47648,41305,38227,3078,2211,503,364,300,300,0,0,0,0,309,1314,566,3854,28060,2019
"Kankakee, IL Metro Area",50062,45206,40989,4217,3294,361,562,793,616,31,146,0,0,139,1121,1059,1744,28100,2019
"Kansas City, MO-KS Metro Area",1072695,981429,897400,84029,65428,10689,7912,9488,8986,77,46,255,124,1586,13367,8903,57922,28140,2019
"Kapaa, HI Micro Area",35697,31673,28107,3566,2507,565,494,219,216,0,3,0,0,103,670,347,2685,28180,2019
"Kearney, NE Micro Area",30259,27803,25158,2645,1823,392,430,58,58,0,0,0,0,191,857,312,1038,28260,2019
"Keene, NH Micro Area",39297,33441,30227,3214,2495,512,207,103,50,24,29,0,0,269,1238,508,3738,28300,2019
"Kendallville, IN Micro Area",22584,21112,18734,2378,1656,298,424,25,25,0,0,0,0,115,341,284,707,28340,2019
"Kennett, MO Micro Area",11375,10476,8920,1556,1075,313,168,34,20,0,0,14,0,81,314,91,379,28380,2019
"Kennewick-Richland, WA Metro Area",126231,116926,101864,15062,9451,1774,3837,826,825,1,0,0,0,327,1548,1166,5438,28420,2019
"Kerrville, TX Micro Area",21747,19914,17101,2813,2033,560,220,8,8,0,0,0,0,53,451,158,1163,28500,2019
"Ketchikan, AK Micro Area",7104,5886,4605,1281,990,182,109,273,182,0,0,0,91,13,537,204,191,28540,2019
